# Nodes Mir     Mir-SVS   MirD(f+1)   MirD(3f+1)
# ----------------------------------------
  4	    70.187   82.550    27.461     19.192
  16    53.318	 72.375    12.222	    0.5273
  49    38.156   65.761    4.732      0.1432
  100   31.730   61.058    1.002      0.269
