latency	frequency	cdf
23.4	0	0.99912854
23.5	0	0.99912854
23.6	0	0.99912854
23.7	0	0.99912854
23.8	0	0.99912854
23.9	0	0.99956427
24	0	0.99956427
24.1	0	0.99956427
24.2	0	0.99956427
24.3	0	0.99956427
24.4	0	0.99956427
24.5	0	0.99956427
24.6	0	0.99956427
24.7	0	0.99956427
24.8	0	0.99956427
24.9	0	0.99956427
25	0	0.99956427
25.1	0	0.99956427
25.2	0	0.99956427
25.3	0	0.99956427
25.4	0	0.99956427
25.5	0	0.99956427
25.6	0	0.99956427
25.7	0	0.99956427
25.8	0	0.99956427
25.9	0	0.99956427
26	0	0.99956427
27	0	1
